,en,es,fr,id,jp,th,vi,zh,tr
AddVisitor,Add Visitor,Agregar visitante,Ajouter un visiteur,Tambahkan Pengunjung,ビジター追加,เพิ่มผู้เยี่ยมชม,Thêm khách truy cập,新增訪客,Ziyaretçi Ekle
AdjustClockInEnabled,record with the scheduled clock-in time when arrive before the scheduled clock-in time.,Registre con la hora de reloj programada cuando llegue antes de la hora programada de reloj.,Enregistrez avec l'heure d'horloge prévue à l'arrivée avant l'heure prévue.,rekam dengan waktu masuk yang dijadwalkan ketika tiba sebelum waktu masuk yang dijadwalkan.,予定勤務時間より早く到着した場合は、予定勤務時間に従って記録します。,บันทึกด้วยเวลานาฬิกาที่กำหนดเมื่อมาถึงก่อนเวลานาฬิกาที่กำหนด,ghi lại thời gian chấm công vào làm trước thời gian vào làm đã định,若表定上班時間之前到達，以表定上班時間記錄。,"Planlanan giriş saatinden önce varış yaptığınızda, planlanan giriş saatini kaydedin."
AdjustClockOutEnabled,record with the scheduled clock-out time when leave after the scheduled clock-out time.,Registre con la hora programada de tiempo para obtener cuando se vaya después de la hora programada de tiempo.,Enregistrez avec l'heure d'horlogerie prévue lorsque vous contetez après l'heure d'horlogerie prévue.,rekam dengan waktu keluar yang dijadwalkan ketika berangkat setelah waktu keluar yang dijadwalkan.,予定退勤時刻を過ぎて退勤する場合は、予定退勤時刻で記録します。,บันทึกด้วยเวลานาฬิกาตามกำหนดเวลาเมื่อออกหลังจากเวลานาฬิกาตามกำหนดเวลา,ghi lại thời gian chấm công tan làm sau thời gian tan làm đã định.,若表定下班時間之後離開，以表定下班時間記錄。,"Planlanan çıkış saatinden sonra ayrıldığınızda, planlanan çıkış saatini kaydedin."
AdvertisingMode,Advertising Mode,Modo de publicidad,Mode publicitaire,Mode Periklanan,広告モード,โหมดโฆษณา,Chế độ quảng cáo,形象廣告模式,Reklam Modu
AlarmSettings,Alarm Settings,Configuración de alarma,Paramètres d'alarme,Pengaturan Alarm,アラーム設定,การตั้งค่าการเตือนภัย,Cài đặt báo thức,警示設定,Alarm Ayarları
AlarmVolume,Alarm Volume,Volumen de alarma,Volume d'alarme,Volume Alarm,アラーム音量,ปริมาณการเตือนภัย,Âm lượng báo động,警示音量,Alarm Sesi
All,All,Todo,Tous,Semua,全て,ทั้งหมด,Tất cả,全部,Tüm
AllPerson,All Person,Todas las personas,Tous,Semua Orang,全パーソン,คนทุกคน,Tất cả mọi người,全部,Tüm Kişiler
AllTemperature,All Temperature,Toda temperatura,Toute température,Semua Suhu,全部で,อุณหภูมิทั้งหมด,Tất cả nhiệt độ,全部,Tüm Sıcaklıklar
Amounts,Video devices,Dispositivos de video,Dispositifs vidéo,Perangkat video,ビデオデバイス,อุปกรณ์วิดีโอ,Thiết bị video,影像設備數,Video cihazları
Announcement,Announcement,Anuncio,Annonce,Pengumuman,表示,ประกาศ,Thông báo,公告,Duyuru
AntiSpoofingThreshold,Anti Spoofing Threshold,Umbral contra la falsificación,Seuil anti-usurpation,Ambang Batas Anti Spoofing,なりすまし防止閾値,เกณฑ์ต่อต้านการปลอมแปลง,Ngưỡng chống giả mạo,防偽閾值,Sahteciliğe Karşı Koruma Eşiği
Apply,Apply,Aplicar,Appliquer,Terapkan,適用,นำมาใช้,Áp dụng,套用,Uygula
AsAdmin,As Admin,Como administrador,En tant qu'administrateur,Sebagai Admin,管理者の指定,ในฐานะผู้ดูแลระบบ,Là quản trị viên,指定為 Admin,Yönetici olarak
AssignedGroup,Central Assigned Group,Grupo asignado central,Groupe central assigné,Grup yang Ditugaskan di Pusat,指定グループ,กลุ่มที่ได้รับมอบหมายส่วนกลาง,Nhóm được phân công trung tâm,中央指派群組,Merkezi Atanmış Grup
Attendance,Attendance,Asistencia,Présence,Kehadiran,出勤,การเข้าร่วม,Chấm công,出勤,Katılım
AttendanceOperations,Attendance Operations,Operaciones de asistencia,Opérations de fréquentation,Operasi Kehadiran,勤怠管理,การดำเนินงานการเข้าร่วม,Hoạt động chấm công,出勤操作,Katılım İşlemleri
AttendanceSettings,Attendance Settings,Configuración de asistencia,Paramètres de fréquentation,Pengaturan Kehadiran,出席設定,การตั้งค่าการเข้าร่วม,Cài đặt chấm công,出勤設定,Katılım Ayarları
AutoLightEnable,Auto fill light enabled,Luz de relleno automático habilitado,Lumière de remplissage automatique activé,Lampu pengisian otomatis diaktifkan,照明自動補正,เปิดใช้งานไฟเติมอัตโนมัติ,Đã bật đèn tự động,啟用自動補光,Otomatik doldurma ışığı etkinleştirildi
AutoLightScheduleEnd,Auto light schedule ended,El horario de luz automática terminó,Le calendrier de lumière automatique terminée,Jadwal lampu otomatis berakhir,補正終了,กำหนดเวลาไฟอัตโนมัติ,Lịch đèn tự động kết thúc,補光排程結束,Otomatik ışık programı sona erdi
AutoLightScheduleStart,Auto light schedule starts,Comienza el horario de luz automática,L'horaire de lumière automatique commence,Jadwal lampu otomatis dimulai,補正開始,กำหนดเวลาไฟอัตโนมัติเริ่มต้นขึ้น,Lịch trình đèn tự động bắt đầu,補光排程開始,Otomatik ışık programı başlar
AutoLightSettings,Auto fill light,Luz de relleno automático,Lumière de remplissage automatique,Lampu pengisian otomatis,照明補正の設定,ไฟเติมอัตโนมัติ,Tự động thêm sáng,自動補光設置,Otomatik doldurma ışığı
AutoLightThreshole,Auto light Threshold,Umbral de luz automática,Seuil de lumière automatique,Ambang Batas Cahaya Otomatis,照明補正のしきい値,เกณฑ์แสงอัตโนมัติ,Ngưỡng đèn tự động,補光閾值,Otomatik ışık eşiği
AvailableWifi,Available Wi-Fi SSID,Wi-Fi SSID disponible,SSID Wi-Fi disponible,SSID Wi-Fi yang tersedia,利用可能なWi-Fi SSID,Wi-Fi SSID ที่มีอยู่,SSID Wi-Fi khả dụng,可用的無線網路,Mevcut Wi-Fi SSID
BackgroundColor,Background Color,Color de fondo,Couleur de l'arrière plan,Warna latar belakang,背景色,สีพื้นหลัง,Màu nền,背景顏色,Arkaplan Rengi
BackgroundImage,Background Image,Imagen de fondo,Image de fond,Gambar latar belakang,背景イメージ,ภาพพื้นหลัง,Hình nền,背景圖片,Arkaplan Görüntüsü
BackupAndRestore,Backup & Restore,Copia de seguridad de restauracion,Restauration de sauvegarde,Cadangkan & Pulihkan,バックアップ&リストア,สำรองและกู้คืน,Sao lưu & Khôi phục,備份與還原,Yedekleme ve Geri Yükleme
BackupDatabase,Backup Database,Base de datos de respaldo,Base de données de sauvegarde,Cadangkan Database,バックアップデータベース,ฐานข้อมูลสำรอง,Sao lưu cơ sở dữ liệu,備份資料庫,Yedekleme Veritabanı
BasicDeviceGroups,Device Groups,Grupos de dispositivos,Groupes d'appareils,Grup Perangkat,デバイスグループ,กลุ่มอุปกรณ์,Nhóm thiết bị,設備群組,Aygıt Grupları
BasicDeviceName,Device Name,Nombre del dispositivo,Nom de l'appareil,Nama Perangkat,デバイス名,ชื่ออุปกรณ์,Tên thiết bị,設備名稱,Aygıt Adı
Blank,Blank,Blanco,Vide,Kosong,空白,ว่างเปล่า,Trống,空白,Boşluk
Body,Body,Cuerpo,Corps,Badan,本文,ร่างกาย,Thân,正文,Vücut
BottomMessage,Message On Bottom,Mensaje en el fondo,Message en bas,Pesan Di Bawah,下部のメッセージ,ข้อความด้านล่าง,Tin nhắn ở phía dưới,底部資訊,Alttaki Mesaj
BreakTimeMins,Break Time (minutes):,Tiempo de descanso (minutos):,Temps de pause (minutes):,Waktu Istirahat (menit):,休憩時間 (分):,เวลาพัก (นาที):,Thời gian giải lao (phút):,休息時間 (分)：,Mola Süresi (dakika):
BreakTimeTitle,Break Time,Descanso,Pause,Waktu Istirahat,休憩時間,เวลาพัก,Giờ giải lao,休息時間,Mola Zamanı
BtnActivate,Activate,Activar,Activer,Aktifkan,アクティベート,เปิดใช้งาน,Kích hoạt,啟用,Etkinleştir
BtnTrial,Start trial,Prueba de inicio,Commencer procès,Mulai uji coba,試用を開始する,เริ่มทดลองใช้,Bắt đầu thử nghiệm,開始試用,Denemeye başla
Cameras,Cameras,Cámaras,Caméra IP,Kamera,カメラ,กล้องถ่ายรูป,Camera,攝影機,Kameralar
Cancel,Cancel,Cancelar,Annuler,Batal,キャンセル,ยกเลิก,Hủy bỏ,取消,İptal etmek
CannotBeBlank,Can not be Blank!,¡No puede estar en blanco!,Ne peut être vide!,Tidak bisa kosong!,空白にできない,ไม่ว่าง!,Không thể để trống!,不能為空,Boş Olamaz!
Caption,Caption,Subtítulo,Légende,Keterangan,キャプション,คำบรรยาย,Chú thích,標題,Altyazı
Capture,Capture,Captura,Capturer,Tangkapan,キャプチャ,การจับกุม,Chụp,確認,Esir almak
CapturedPhoto,Captured Photo,Foto capturada,Photo capturée,Foto yang Diambil,撮影した写真,ภาพที่จับได้,Ảnh đã chụp,抓拍照片,Yakalanan Fotoğraf
CardNumber,Card Number,Número de tarjeta,Numéro de carte,Nomor kartu,カード番号,หมายเลขบัตร,Số thẻ,卡號,Kart Numarası
Celsius,(°C),(° C),(° C),(°C),摂氏 (°C),(° C),Độ C,(°C),(°C)
CentralManagement,Central Management,Gestión central,Gestion centrale,Manajemen Pusat,中央管理,ผู้บริหารส่วนกลาง,Quản lý trung tâm,中央管理,Merkezi Yönetim
ChangeAttendanceRecord,Change Logs,Cambiar registros,Modifier les journaux,Ubah Log,変更ログ,เปลี่ยนบันทึก,Nhật ký thay đổi,變更日誌,Değişiklik Günlükleri
ChangeLogsModifier,Change Logs Modifier,Cambiar modificador de registros,Modificateur de journaux de modification,Ubah Pengubah Log,記録修正,เปลี่ยนบันทึกตัวดัดแปลง,Thay đổi công cụ sửa đổi nhật ký,紀錄修改人,Değişiklik Günlükleri Değiştiricisi
ChangeLogsNewTime,Corrected Time,Tiempo corregido,Temps corrigé,Waktu yang Dikoreksi,修正時刻,เวลาแก้ไข,Thời gian đã sửa,修正時間,Düzeltilmiş Zaman
ChangeLogsReason,Reason,Razón,Raison,Alasan,理由,เหตุผล,Lý do,原因,Sebep
ChangeLogsTargetPerson,Target,Objetivo,Cible,Target,目標,เป้า,Mục tiêu,目標對象,Hedef
ChangeLogsTimeRange,Time range,Intervalo de tiempo,Intervalle de temps,Rentang waktu,時間範囲,ช่วงเวลา,Phạm vi thời gian,時間區間,Zaman aralığı
ChangeLogsTitle,Change logs,Cambiar registros,Modifier les journaux,Ubah log,変更ログ,เปลี่ยนบันทึก,Nhật ký thay đổi,變更日誌,Değişiklik günlükleri
ChangeLogsType,Type,Tipo,Taper,Jenis,類型,พิมพ์,Kiểu,類型,Tip
CheckInfo,Check,Comprobar,Vérifier,Periksa,検証,ตรวจสอบ,Kiểm tra,檢視,Kontrol etmek
ChooseAnotherFile,Reselect,Volver a seleccionar,Sélectionner de nouveau,Pilih kembali,再選択,เลือกอีกครั้ง,Chọn lại,重新選擇,Yeniden seç
ChooseFile,Choose File,Elija el archivo,Choisir le fichier,Pilih File,選択,เลือกไฟล์,Chọn tập tin,選擇檔案,Dosya Seçin
ClockIn,Clock In,Registrar Entrada,ENTRER,Jam Masuk,出社,นาฬิกาใน,Chấm công vào làm,上班,Giriş Saati
ClockInChannel,Devices for clock-in,Dispositivos para el reloj,Appareils pour l'horloge,Perangkat untuk jam masuk,クロックイン用のデバイス,อุปกรณ์สำหรับนาฬิกา,Thiết bị Chấm công vào làm,識別簽到的設備,Giriş için cihazlar
ClockInTime,Clock-in Time,Tiempo de reloj,Temps d'horloge,Waktu Masuk,出勤時間,เวลานาฬิกา,Đồng hồ Chấm công vào làm,上班時間,Giriş Zamanı
ClockInTimeBuffer,Clock-in Flexibility (minute),Flexibilidad de reloj (minuto),Flexibilité d'horloge (minute),Fleksibilitas Jam Masuk (menit),出社バッファー（分）,ความยืดหยุ่นในนาฬิกา (นาที),Tính linh hoạt của đồng hồ (phút),上班時間緩衝 (分),Giriş Esnekliği (dakika)
ClockInUpperBound,Count as late when arrive after:,Cuente tan tarde cuando llegue después:,Comptez aussi tard à l'arrivée après:,Dihitung terlambat ketika tiba setelah:,00:00以降に到着した場合は遅刻としてカウントされます,นับสายเมื่อมาถึงหลังจาก:,Tính là muộn khi đến sau:,判定遲到，晚於：,Şu saatten sonra gelenler geç sayılır:
ClockModeCard,Card Mode,Modo de tarjeta,Mode carte,Mode Kartu,出勤カード,โหมดการ์ด,Chế độ thẻ,刷卡,Kart Modu
ClockModeClockIn,Clock In,Reloj en,S'accélérer,Jam Masuk,出社,นาฬิกาใน,Chấm công vào làm,上班卡,Giriş Saati
ClockModeClockOut,Clock Out,Retirarse,S'allumer,Jam Keluar,退社,นาฬิกาออก,Chấm công tan làm,下班卡,Çıkış saati
ClockModeManualClockIn,Clock-in manually,Marcar entrada manualmente,Horloge manuellement,Jam masuk secara manual,手動での出勤,นาฬิกาด้วยตนเอง,Chấm công vào làm thủ công,補打上班卡,Manuel olarak giriş yapın
ClockModeManualClockOut,Clock-out manually,Marcar salida manualmente,Clock-Out manuellement,Jam keluar secara manual,手動で退勤する,นาฬิกาด้วยตนเอง,Chấm công tan làm thủ công,補打下班卡,Saati manuel olarak kapatın
ClockModePass,Passing Mode,Modo de paso,Mode de passage,Mode Passing,通過,โหมดผ่าน,Chế độ vượt,通行模式,Geçiş Modu
ClockOut,Clock Out,Registrar Salida,SORTIR,Jam Keluar,退出,นาฬิกาออก,Chấm công tan làm,下班,Çıkış saati
ClockOutChannel,Devices for clock-out,Dispositivos para obtener relojes,Appareils pour l'horloge,Perangkat untuk jam keluar,クロックアウト用のデバイス,อุปกรณ์สำหรับนาฬิกาออก,Thiết bị Chấm công tan làm,識別簽退的設備,Çıkış saati için cihazlar
ClockOutLowerBound,Count as early leaving when leave before:,Cuente tan temprano que salga cuando salga antes:,Comptez comme partant tôt lorsque vous partez avant:,Dihitung sebagai pulang awal bila keluar sebelum:,00:00より早い時間で早退判定,นับตั้งแต่ออกไปก่อนเมื่อออกไปก่อน:,Được tính là sớm khi về trước:,判定早退，早於：,Aşağıdakilerden önce izin almanız durumunda erken çıkış sayılır:
ClockOutTime,Clock-out Time,Tiempo de relojería,Temps de sortie,Waktu Jam Keluar,退勤時間,เวลานาฬิกา,Thời gian Chấm công tan làm,下班時間,Çıkış Saati
ClockOutTimeBuffer,Clock-out Flexibility (minute),Flexibilidad de relojería (minuto),Flexibilité de l'horloge (minute),Fleksibilitas Jam Keluar (menit),退社バッファー（分）,ความยืดหยุ่นในการออกนาฬิกา (นาที),Tính linh hoạt khi bấm giờ (phút),下班時間緩衝 (分),Çıkış Esnekliği (dakika)
ClockTime,Clock Time,Hora del reloj,Temps d'horloge,Waktu jam,時間,เวลานาฬิกา,Đồng hồ thời gian,打卡時間,Saat Zamanı
ClockinMode,Time Clock Mode,Modo de reloj de tiempo,Mode horloge de temps,Mode Jam Waktu,出退勤モード,โหมดนาฬิกาเวลา,Chế độ thời gian,打卡鐘模式,Zaman Saati Modu
ClockingMode,Clocking Mode,Modo de margen,Mode de tracture,Mode Pencatatan Jam,モード,โหมดตอกบัตร,Chế độ Chấm công,打卡模式,Saat Modu
Color,Color,Color,Couleur,Warna,カラー,สี,Màu sắc,字體顏色,Renk
Compact,Compact,Compacto,Compact,Kompak,コンパクト,กะทัดรัด,Gọn nhẹ,緊湊,Kompakt
CompanyInfo,Company Info,nformación de la Empresa,Information d'entreprise,Info perusahaan,会社情報,ข้อมูล บริษัท,Thông tin công ty,公司資訊,Şirket Bilgileri
CompanyName,Company Name,nombre de empresa,Nom de l'entreprise,Nama perusahaan,会社名,ชื่อ บริษัท,Tên công ty,公司名稱,Firma Adı
Complete,Complete,Completo,Achevé,Selesai,完了,สมบูรณ์,Hoàn thành,完成,Tamamlamak
CompleteAndRestart,"Complete, system will restart in 60 sec, please wait.","Completado, el sistema se reiniciará en 60 segundos, espere un poco","Achevé, le système va redémarrer dans 60 sec, merci de patienter","Selesai, sistem akan restart dalam 60 detik, mohon tunggu.",システムは60秒以内に再起動します 暫くお待ちください,เสร็จสิ้นระบบจะรีสตาร์ทใน 60 วินาทีโปรดรอ,"Hoàn tất, hệ thống sẽ khởi động lại sau 60 giây, vui lòng đợi.","完成, 系統將會在 60秒 內重新啟動, 請稍待","Tamamlandı, sistem 60 saniye içinde yeniden başlatılacak, lütfen bekleyin."
Condition,Condition,Condición,Condition,Kondisi,状態,เงื่อนไข,Tình trạng,規則條件,Durum
Confirm,Confirm,Confirmar,Confirmer,Konfirmasi,確認,ยืนยัน,Xác nhận,確定,Onaylamak
ConfirmPassword,Confirm Password,confirmar Contraseña,Confirmez le mot de passe,Konfirmasi kata sandi,再入力,ยืนยันรหัสผ่าน,Xác nhận mật khẩu,確認密碼,Şifreyi Onayla
ConfirmToChangeNetwork,Please confirm modification. You may have to reconnect,Confirme la modificación. Puede que tengas que volver a conectarte,Veuillez confirmer la modification. Vous devrez peut-être vous reconnecter,Mohon konfirmasi modifikasi. Anda mungkin harus terkoneksi kembali.,変更しまか？再接続が必要になります。,โปรดยืนยันการดัดแปลง คุณอาจต้องเชื่อมต่ออีกครั้ง,Vui lòng xác nhận sửa đổi. Bạn có thể phải kết nối lại,確定要變更？你將需要重新連線,Lütfen değişikliği onaylayın. Yeniden bağlanmanız gerekebilir
ConfirmToDelete,Are you sure to delete?,¿Estás seguro de eliminar?,Êtes-vous sûr de vouloir supprimer?,Apakah Anda yakin akan menghapusnya?,本当に削除しますか？,คุณแน่ใจว่าจะลบ?,Bạn có chắc chắn muốn xóa không?,你確定要刪除嗎？,Silmek istediğinize emin misiniz?
ConfirmToFactoryDefault,Will lost all data and reboot,Se perderán todos los datos y se reiniciará,Toutes les données seront effacées et le système redémarrera,Akan kehilangan semua data dan reboot,全てのデータが削除され再起動します,จะสูญเสียข้อมูลทั้งหมดและรีบูต,Sẽ mất hết dữ liệu và khởi động lại,將刪除所有資料，系統將重新啟動,Tüm veriler kaybolacak ve yeniden başlatılacak
ConfirmToLogout,"After restart, you'll be logged out, please log in again.","Después de reiniciar, se cerrará su sesión; inicie sesión nuevamente.","Après le redémarrage, vous serez déconnecté, veuillez vous reconnecter.","Setelah restart, Anda akan logout, silakan login lagi.",再起動後はログアウトされますので、再度ログインしてください。,หลังจากรีสตาร์ท คุณจะออกจากระบบ โปรดเข้าสู่ระบบอีกครั้ง,"Sau khi khởi động lại, bạn sẽ đăng xuất, vui lòng đăng nhập lại.",重啟服務後，將自動登出，請重新登入。,"Yeniden başlattıktan sonra oturumunuz kapatılacak, lütfen tekrar oturum açın."
ConfirmToProcess,Are you sure to proceed ?,¿Estás seguro de continuar?,Êtes-vous sûr de continuer?,Apakah Anda yakin untuk melanjutkan?,実行してよろしいですか。,คุณแน่ใจว่าจะดำเนินการต่อไป?,Bạn có chắc chắn tiếp tục không?,你確定要這樣做嗎？,Devam etmek istediğinizden emin misiniz?
ConfirmToReboot,System will reboot,El sistema se reiniciará,Le système redémarrera,Sistem akan reboot,システム再起動,ระบบจะรีบูต,Hệ thống sẽ khởi động lại,系統將重新啟動,Sistem yeniden başlatılacak
ConnectTimetoutMs,Connect Timetout (ms),Tiempo de conexión (ms),Connection périmé (MS),Koneksi Timeout (ms),接続タイムアウト(ms),เชื่อมต่อ timetout (MS),Thời gian chờ kết nối (ms),連線逾時 (毫秒),Bağlantı Zaman Aşımı (ms)
ContentField,Content,Contenido,Contenu,Konten,コンテンツ,เนื้อหา,Nội dung,內容欄位,İçerik
ContentLanguage,Language,Idioma,Langue,Bahasa,言語,ภาษา,Ngôn ngữ,語言,Dil
CorrectAttendance,Change Attendance record,Registro de asistencia de cambio,Changer le dossier de fréquentation,Ubah catatan Kehadiran,出席記録を変更する,เปลี่ยนบันทึกการเข้าร่วมประชุม,Thay đổi bản ghi Chấm công,變更出勤紀錄,Katılım kaydını değiştir
Create,Create,Crear,Créer,Buat,登録,สร้าง,Tạo,創建,Yaratmak
CreateAccessControl,Create Access Control,Crear control de acceso,Créer un contrôle d'accès,Buat Akses Kontrol,アクセスレベル追加,สร้างการควบคุมการเข้าถึง,Tạo kiểm soát truy cập,新增門禁,Erişim Kontrolü Oluştur
CreateAccount,Create Account,Crear una cuenta,Créer un compte,Buat Akun,アカウント作成,สร้างบัญชี,Tạo tài khoản,創建帳號,Hesap oluşturmak
CreateDate,Create Date,Fecha de Creación,créer un rendez-vous,Tanggal Pembuatan,登録日,วันที่สร้าง,Tạo ngày,建立時間,Oluşturma Tarihi
CreateEventControl,Create Event,Crear evento,Créer un évènement,Buat Event,イベント作成,สร้างเหตุการณ์,Tạo sự kiện,新增事件,Etkinlik Oluştur
CreateGroup,Create Group,Crea un grupo,Créer un groupe,Buat Grup,グループ登録,สร้างกลุ่ม,Tạo nhóm,創建群組,Grup Oluştur
CurrentDeviceTime,Device Time,Tiempo del dispositivo,Heure de l'appareil,Waktu Perangkat,デバイス時間,เวลาอุปกรณ์,Thời gian thiết bị,裝置時間,Cihaz Zamanı
CurrentIpAddress,Current IP Address,Dirección IP actual,Adresse IP actuelle,Alamat IP saat ini,現在のIPアドレス,ที่อยู่ IP ปัจจุบัน,Địa chỉ IP hiện tại,目前 IP 位址,Mevcut IP Adresi
CurrentLocalTime,Local Time,Hora local,Heure locale,Waktu lokal,ローカル時間,เวลาท้องถิ่น,Giờ địa phương,本地時間,Yerel Saat
CurrentRecords,Current Records,Registros actuales,Enregistrements actuels,Catatan Saat Ini,現在の記録,บันทึกปัจจุบัน,Bản ghi hiện tại,當前紀錄,Güncel Kayıtlar
CurrentSsid,Current SSID,SSID actual,SSID actuel,SSID saat ini,現在のSSID,SSID ปัจจุบัน,SSID hiện tại,目前 SSID,Mevcut SSID
CurrentVersionNumber,Current Version Number,Número de versión actual,Numéro de version actuelle,Nomor Versi Saat Ini,現在のバージョン,หมายเลขเวอร์ชันปัจจุบัน,Số phiên bản hiện tại,目前版號,Güncel Sürüm Numarası
Custom,Custom,Costumbre,Personalisé,Kustom,カスタマイズ,กำหนดเอง,Tùy chỉnh,客製化,Gelenek
CustomButton,Custom Function Button,Botón de función personalizada,Bouton de fonction personnalisé,Tombol Fungsi Kustom,カスタム機能ボタン,ปุ่มฟังก์ชั่นที่กำหนดเอง,Nút chức năng tùy chỉnh,自定義功能按鈕,Özel Fonksiyon Düğmesi
DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
DailyAttendanceStatus,Daily Status,Estado diario,Statut quotidien,Status Harian,日次ステータス,สถานะประจำวัน,Trạng thái hàng ngày,當日出勤狀態,Günlük Durum
DataRetention,Data Retention,Retención de datos,La conservation des données,Retensi Data,データの保持,การเก็บรักษาข้อมูล,Lưu trữ dữ liệu,資料保存,Veri Saklama
Date,Date,Fecha,Date,Tanggal,日付,วันที่,Ngày,日期,Tarih
DateDepiction,Date must not be greater than today,La fecha no debe ser mayor que hoy,La date ne doit pas être plus grande qu'aujourd'hui,Tanggal tidak boleh lebih besar dari hari ini,日付は今日までとする,วันที่จะต้องไม่มากกว่าวันนี้,Ngày không được lớn hơn ngày hôm nay,日期不得大於今天,Tarih bugünden büyük olamaz
DateTime,Date Time,Fecha y hora,Date,Tanggal Waktu,日時／時間,วันเวลา,Ngày giờ,日期/時間,Tarih Saat
Day,DAY,DÍA,JOUR,HARI,日,วัน,NGÀY,日,GÜN
DbBackupTime,Database Backup Time :,Tiempo de copia de seguridad de la base de datos:,Temps de sauvegarde de la base de données:,Waktu Pencadangan Database:,バックアップ時間,เวลาสำรองฐานข้อมูล:,Thời gian sao lưu cơ sở dữ liệu:,資料庫備份時間 :,Veritabanı Yedekleme Süresi :
Default,Default,Por defecto,Défaut,Default,デフォルト,ค่าเริ่มต้น,Mặc định,預設,Varsayılan
DefaultValue,Default Value,Valor por defecto,Valeur par défaut,Nilai Default,デフォルト値,ค่าเริ่มต้น,Giá trị mặc định,預設值,Varsayılan Değer
DefinedClockInTime,Scheduled Clock-in Time,Tiempo de reloj programado,Temps d'horloge planifié,Jadwal Jam Masuk,予定出勤時間,เวลานาฬิกาตามกำหนดเวลา,Thời gian vào làm theo lịch trình,表定上班時間,Planlanmış Giriş Saati
